label,label_id,box_xtl,box_ytl,box_xbr,box_ybr,confidence,frame_id
Female,1,726,263,855,364,0.4615471,184
Female,1,66,254,147,315,0.5017231,185
Male,0,1489,344,1558,414,0.4583422,185
Female,1,723,265,863,372,0.36639643,185
Male,0,1488,345,1559,414,0.47334716,186
Female,1,65,255,145,314,0.46673575,186
Female,1,720,274,860,375,0.44062763,186
Female,1,728,268,859,362,0.48114842,187
Male,0,1489,345,1559,414,0.4703225,187
Female,1,64,255,144,314,0.43622616,187
Female,1,65,254,146,315,0.5352801,188
Male,0,1488,345,1559,414,0.48257485,188
Female,1,63,254,144,315,0.55316544,189
Male,0,1490,346,1560,414,0.50112486,189
Male,0,1487,345,1561,416,0.55184346,190
Female,1,65,254,146,315,0.5214779,190
Male,0,1486,342,1563,414,0.5672027,191
Female,1,65,254,146,315,0.5328637,191
Female,1,697,436,808,517,0.3485723,191
Female,1,64,254,145,315,0.5287572,192
Male,0,1487,343,1563,413,0.50235194,192
Female,1,666,331,770,460,0.31781814,192
Female,1,64,254,146,316,0.55230916,193
Male,0,1480,346,1560,411,0.5103747,193
Female,1,701,435,809,514,0.3079238,193
Female,1,64,254,146,316,0.54429376,194
Male,0,1495,341,1557,400,0.3318709,194
Female,1,702,435,808,513,0.32419276,194
Female,1,64,254,147,316,0.5901264,195
Female,1,702,434,808,512,0.3030933,195
Female,1,64,254,147,316,0.60128546,196
Female,1,702,435,808,513,0.3060578,196
Female,1,65,254,146,316,0.6015143,197
Female,1,64,255,146,317,0.6007472,198
Female,1,702,435,808,512,0.30171013,198
Female,1,65,255,145,317,0.6129673,199
Female,1,703,434,808,512,0.35292545,199
Female,1,64,255,144,317,0.60437846,200
Female,1,703,435,808,513,0.3560639,200
Female,1,64,254,145,316,0.57570964,201
Female,1,703,434,808,512,0.34108973,201
Female,1,65,254,146,316,0.5652278,202
Female,1,702,434,808,512,0.3357365,202
Female,1,64,254,145,316,0.5399376,203
Female,1,64,255,146,316,0.55721676,204
Female,1,64,254,145,316,0.54790235,205
Female,1,65,254,146,316,0.5429996,206
Female,1,64,254,144,316,0.55568945,207
Female,1,702,434,808,512,0.31771135,207
Female,1,65,255,145,316,0.5343098,208
Female,1,1504,123,1610,196,0.38532856,208
Female,1,64,255,143,316,0.5250897,209
Female,1,1506,124,1612,198,0.50512886,209
Female,1,62,254,145,316,0.57937723,210
Female,1,1505,122,1615,196,0.46544427,210
Female,1,702,433,808,511,0.3237992,210
Female,1,63,254,144,316,0.57890904,211
Female,1,1516,126,1615,196,0.48084453,211
Female,1,702,433,808,511,0.32589108,211
Female,1,62,254,143,316,0.5695622,212
Female,1,1516,127,1615,196,0.5620668,212
Female,1,702,433,808,511,0.31439516,212
Female,1,1514,127,1615,197,0.5971977,213
Female,1,62,254,143,315,0.5618821,213
Male,0,1769,840,1920,923,0.3665411,213
Female,1,702,433,808,511,0.3173157,213
Female,1,1515,129,1616,198,0.55615,214
Female,1,62,254,143,316,0.53202206,214
Male,0,1775,838,1920,933,0.3750267,214
Female,1,1508,130,1615,201,0.5290918,215
Female,1,63,254,145,316,0.49276736,215
Male,0,1782,829,1920,933,0.47896603,215
Female,1,702,434,807,511,0.31082284,215
Female,1,63,254,144,315,0.51941603,216
Female,1,1502,132,1615,204,0.4327041,216
Female,1,702,435,807,513,0.3479658,216
Female,1,63,254,144,315,0.48812774,217
Female,1,702,434,807,512,0.32656693,217
Male,0,1783,842,1920,928,0.308591,217
Female,1,64,254,145,315,0.42981786,218
Male,0,1778,831,1920,933,0.39297375,218
Female,1,702,435,807,512,0.3459141,218
Female,1,63,254,145,316,0.50996095,219
Female,1,702,434,807,512,0.35145286,219
Male,0,1780,841,1920,928,0.32682127,219
Female,1,63,254,144,315,0.5009261,220
Female,1,702,435,808,513,0.34198648,220
Male,0,1784,833,1920,930,0.3199907,220
Female,1,64,253,144,315,0.4990403,221
Male,0,1783,824,1920,931,0.4090323,221
Female,1,702,435,807,513,0.33986533,221
Female,1,64,254,144,315,0.51441336,222
Male,0,1797,813,1919,928,0.49805236,222
Female,1,702,435,808,512,0.3542018,222
Male,0,1802,815,1920,923,0.61863834,223
Female,1,64,254,144,315,0.53482753,223
Female,1,703,435,808,513,0.36539125,223
Female,1,64,254,144,315,0.52678967,224
Female,1,702,435,807,512,0.37004125,224
Female,1,65,253,147,316,0.55956864,225
Female,1,65,254,146,316,0.564646,226
Female,1,65,254,146,315,0.5352993,227
Female,1,65,254,146,316,0.5534284,228
Female,1,65,254,145,315,0.5356052,229
Female,1,703,435,808,513,0.33248812,229
Female,1,65,254,146,315,0.49833906,230
Female,1,703,435,808,513,0.32890505,230
Female,1,64,253,144,314,0.50997645,231
Female,1,703,435,808,513,0.31854957,231
Female,1,64,254,144,315,0.52181756,232
Female,1,703,435,808,513,0.30432522,232
Male,0,1375,847,1525,950,0.6426224,233
Female,1,64,254,144,315,0.5110021,233
Female,1,703,434,808,512,0.3051759,233
Male,0,1366,847,1521,950,0.71650505,234
Female,1,64,254,144,315,0.5559752,234
Male,0,1361,847,1514,948,0.6901202,235
Female,1,63,253,144,315,0.52947026,235
Male,0,1357,844,1511,946,0.73852134,236
Female,1,62,254,143,315,0.52004653,236
Male,0,1357,844,1511,946,0.7390109,237
Female,1,62,254,142,315,0.5212808,237
Male,0,1356,842,1508,943,0.7703512,238
Female,1,63,253,143,315,0.54501665,238
Male,0,1355,841,1507,943,0.76562774,239
Female,1,63,254,143,315,0.51991963,239
Male,0,1353,838,1507,943,0.73373646,240
Female,1,64,253,145,315,0.58130455,240
Male,0,1363,835,1512,944,0.6480628,241
Female,1,64,253,144,315,0.5716917,241
Female,1,702,434,809,512,0.3491709,241
Female,1,63,253,143,315,0.5657095,242
Female,1,702,434,808,512,0.32695174,242
Female,1,63,254,144,316,0.574057,243
Female,1,702,434,808,512,0.33642852,243
Female,1,63,254,144,316,0.57373583,244
Female,1,702,434,808,512,0.3389928,244
Female,1,61,253,141,315,0.5459834,245
Female,1,702,434,808,512,0.35740745,245
Female,1,60,253,140,315,0.5439271,246
Female,1,702,434,808,512,0.34753343,246
Female,1,61,254,141,315,0.5681116,247
Female,1,702,434,808,511,0.3008329,247
Female,1,62,254,142,315,0.5419616,248
Female,1,702,434,808,511,0.3145333,248
Female,1,63,254,143,316,0.5612466,249
Female,1,63,254,144,316,0.52318776,250
Female,1,62,253,144,315,0.49553114,251
Female,1,62,253,144,316,0.5134141,252
Female,1,62,253,144,316,0.51174647,253
Female,1,61,254,143,315,0.5170887,254
Female,1,59,252,138,314,0.57165587,255
Female,1,703,434,808,511,0.31281844,255
Female,1,62,253,142,315,0.58342314,256
Female,1,702,434,808,512,0.34104067,256
Female,1,60,253,139,314,0.54216367,257
Female,1,702,435,808,512,0.3218701,257
Female,1,63,253,143,315,0.55488324,258
Female,1,702,435,808,512,0.30390432,258
Female,1,63,253,143,315,0.55539787,259
Female,1,702,435,808,512,0.30416888,259
Female,1,65,254,147,316,0.56702614,260
Female,1,702,435,808,513,0.32334292,260
Female,1,65,253,146,316,0.5558622,261
Female,1,702,435,808,513,0.3491977,261
Female,1,64,254,144,316,0.5154824,262
Female,1,702,435,807,513,0.3971362,262
Female,1,64,254,145,315,0.52725095,263
Female,1,702,435,808,513,0.3647668,263
Female,1,65,253,145,315,0.5469736,264
Female,1,703,435,807,513,0.39469743,264
Female,1,65,253,147,315,0.54917395,265
Female,1,703,435,807,513,0.4178206,265
Female,1,65,254,146,316,0.57163155,266
Female,1,703,435,808,513,0.39270926,266
Female,1,65,254,146,316,0.58788157,267
Female,1,703,435,808,513,0.39546743,267
Female,1,66,253,147,316,0.5585026,268
Female,1,703,436,807,513,0.41164127,268
Female,1,64,253,145,315,0.5549086,269
Female,1,703,435,807,513,0.38700047,269
Female,1,64,254,145,316,0.5972578,270
Female,1,702,435,808,513,0.40306896,270
Female,1,63,253,144,315,0.6017395,271
Female,1,703,436,808,513,0.34994867,271
Female,1,64,253,145,315,0.6164157,272
Female,1,702,436,807,514,0.3523788,272
Female,1,63,253,145,315,0.5995116,273
Female,1,702,436,807,513,0.3256052,273
Female,1,63,252,146,315,0.593921,274
Female,1,64,253,146,315,0.573249,275
Female,1,702,435,807,512,0.32299978,275
Female,1,64,254,143,315,0.4326865,276
Female,1,703,435,807,512,0.30193722,276
Female,1,63,254,142,315,0.48768574,277
Female,1,702,436,807,513,0.35909575,277
Female,1,63,253,143,315,0.52805126,278
Female,1,702,436,806,513,0.40036517,278
Female,1,64,253,145,315,0.51386446,279
Female,1,702,436,807,513,0.42095155,279
Female,1,63,254,143,314,0.45444965,280
Female,1,702,436,806,513,0.3841284,280
Female,1,743,271,851,350,0.46248823,281
Female,1,64,254,144,314,0.35876197,281
Female,1,741,275,836,348,0.6655589,282
Female,1,743,273,826,347,0.7880429,283
Female,1,745,273,826,347,0.8202422,284
Female,1,744,273,826,347,0.81333864,285
Female,1,748,273,829,348,0.8216622,286
Female,1,750,273,832,349,0.8044406,287
Female,1,752,273,832,349,0.8405668,288
Female,1,751,274,831,349,0.83255297,289
Female,1,749,274,830,350,0.8265184,290
Female,1,749,275,827,348,0.8408164,291
Female,1,749,275,828,348,0.8395182,292
Female,1,749,274,829,348,0.83969533,293
Female,1,751,272,830,349,0.7805271,294
Female,1,748,273,834,349,0.64938194,295
Female,1,745,269,843,348,0.59092945,296
Female,1,729,262,866,355,0.3916943,297
Female,1,66,254,144,313,0.35156378,297
Female,1,68,254,149,315,0.41866332,298
Female,1,68,254,149,316,0.48674637,299
Female,1,65,253,146,316,0.6441256,300
Female,1,700,435,807,514,0.3451295,300
Female,1,64,254,146,316,0.63085103,301
Female,1,701,435,807,513,0.36420155,301
Female,1,65,254,146,316,0.5982759,302
Female,1,703,434,808,512,0.31228158,302
Female,1,65,254,146,316,0.6157319,303
